Price,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Number_of_Facades,Swimming_Pool,State_of_the_Building
225000.0,Jette,Apartment,APARTMENT,2.0,83.0,1,0.0,0,1.0,,,,,3.0,0.0,GOOD
348000.0,Overijse,House,HOUSE,3.0,118.0,0,0.0,0,1.0,,1.0,,298.0,2.0,0.0,TO_BE_DONE_UP
325000.0,Aalst (9300),Apartment,APARTMENT,3.0,184.0,0,0.0,0,,,,,,,0.0,GOOD
265000.0,Geraardsbergen,House,HOUSE,3.0,166.0,0,0.0,0,,,,,511.0,,0.0,GOOD
426409.0,Asse,House,HOUSE,3.0,,0,0.0,0,1.0,,1.0,,526.0,3.0,0.0,AS_NEW
290000.0,La Louvière,House,HOUSE,3.0,209.0,0,0.0,0,1.0,,,,838.0,3.0,0.0,
239000.0,Molenbeek-Saint-Jean,Apartment,APARTMENT,2.0,105.0,0,0.0,0,1.0,,,,,2.0,0.0,AS_NEW
725000.0,Woluwe-Saint-Lambert,House,HOUSE,6.0,485.0,0,0.0,0,1.0,,1.0,,212.0,2.0,0.0,TO_RENOVATE
230000.0,Visé,House,APARTMENT_BLOCK,6.0,234.0,0,0.0,0,1.0,,1.0,,7326.0,2.0,0.0,TO_BE_DONE_UP
420000.0,Waterloo,House,HOUSE,2.0,130.0,0,0.0,0,,,,,240.0,4.0,0.0,JUST_RENOVATED
447000.0,Frasnes-Lez-Anvaing Moustier,House,HOUSE,3.0,182.0,0,0.0,0,,,,,2069.0,4.0,0.0,AS_NEW
550000.0,Ottignies-Louvain-La-Neuve,House,HOUSE,3.0,180.0,0,0.0,0,1.0,,1.0,,530.0,3.0,0.0,GOOD
210000.0,Deurne,Apartment,APARTMENT,3.0,104.0,0,0.0,0,1.0,,,,,3.0,0.0,GOOD
260000.0,Westerlo,House,HOUSE,4.0,158.0,0,0.0,0,1.0,,,,800.0,3.0,0.0,TO_RENOVATE
1300000.0,Zele,House,EXCEPTIONAL_PROPERTY,4.0,422.0,1,0.0,0,1.0,,,,1351.0,4.0,0.0,
