Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,State_of_the_Building
990000.0,,Lubbeek,HOUSE,VILLA,6.0,492.0,False,0.0,,,,,,,2435.0,4.0,1.0,AS_NEW
1595000.0,,Knokke-Heist,APARTMENT,APARTMENT,3.0,80.0,False,,,,,,,,,,,GOOD
1270000.0,,Heverlee,APARTMENT,APARTMENT,4.0,325.0,False,,,,,,,,,2.0,,AS_NEW
155000.0,,ENGIS,HOUSE,HOUSE,4.0,138.0,False,,,1.0,32.0,1.0,116.0,116.0,260.0,3.0,,TO_BE_DONE_UP
299000.0,,BERENDRECHT,HOUSE,HOUSE,4.0,160.0,False,,,,,1.0,120.0,120.0,310.0,3.0,,GOOD
,,Zottegem,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,,,,,,,,,,
2995000.0,,Knokke-Heist,APARTMENT,APARTMENT,3.0,143.0,True,,,1.0,,,,,,3.0,0.0,AS_NEW
329000.0,,Astene,HOUSE,HOUSE,3.0,230.0,False,,,,,,,,267.0,2.0,,TO_BE_DONE_UP
205000.0,,Dison,HOUSE,HOUSE,3.0,141.0,True,0.0,,,,1.0,205.0,205.0,300.0,2.0,0.0,TO_BE_DONE_UP
460000.0,,Antwerpen,APARTMENT,APARTMENT,2.0,101.0,False,,,1.0,12.0,,,,,2.0,,GOOD
571600.0,,Plombières,HOUSE,HOUSE,5.0,227.0,False,0.0,,1.0,36.0,1.0,250.0,250.0,555.0,4.0,0.0,
260000.0,,Tintigny,HOUSE,HOUSE,3.0,120.0,False,,,,,1.0,1.0,1.0,835.0,4.0,0.0,TO_BE_DONE_UP
425000.0,,Liège,HOUSE,APARTMENT_BLOCK,4.0,207.0,False,0.0,,1.0,,,,,190.0,2.0,0.0,GOOD
305000.0,,Tremelo,HOUSE,HOUSE,2.0,125.0,False,,,1.0,8.0,,,,339.0,4.0,,AS_NEW
498500.0,,KAPELLE-OP-DEN-BOS,HOUSE,HOUSE,5.0,203.0,False,,,,,,,,160.0,2.0,,
85000.0,,Liège,APARTMENT,APARTMENT,1.0,71.0,False,0.0,,,,,,,,2.0,0.0,TO_BE_DONE_UP
140000.0,,Auderghem,APARTMENT,FLAT_STUDIO,0.0,35.0,False,0.0,,,,,,,,,0.0,GOOD
,,Wanfercée-Baulet,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,,,,,,,,,,
390000.0,,Brasschaat,HOUSE,HOUSE,3.0,148.0,True,0.0,,1.0,20.0,1.0,260.0,260.0,375.0,3.0,0.0,GOOD
750000.0,,Etterbeek,APARTMENT,APARTMENT,3.0,155.0,True,,,1.0,6.0,,,,,2.0,0.0,AS_NEW
2150000.0,,Knokke-Zoute,APARTMENT,APARTMENT,2.0,121.0,True,,,1.0,,,,,,2.0,,GOOD
370000.0,,Tremelo Baal,HOUSE,HOUSE,4.0,194.0,False,,,1.0,,,,,2390.0,4.0,,TO_RENOVATE
239900.0,,Bertrix,APARTMENT,APARTMENT,2.0,97.0,False,0.0,,1.0,,,,,,,0.0,AS_NEW
535470.0,,Tessenderlo,APARTMENT,APARTMENT,2.0,130.0,True,,,1.0,40.0,1.0,1.0,1.0,,2.0,0.0,AS_NEW
1490000.0,,Saint-Georges-sur-Meuse,HOUSE,HOUSE,7.0,594.0,False,0.0,1.0,1.0,,,,,23159.0,4.0,0.0,AS_NEW
550000.0,,Ixelles,HOUSE,APARTMENT_BLOCK,4.0,244.0,False,0.0,,1.0,17.0,,,,77.0,2.0,0.0,TO_RENOVATE
295000.0,,Awans,HOUSE,HOUSE,3.0,162.0,False,0.0,,1.0,,1.0,1000.0,1000.0,1321.0,3.0,0.0,GOOD
465000.0,,Frasnes-lez-Anvaing,HOUSE,HOUSE,4.0,195.0,True,0.0,,1.0,55.0,1.0,565.0,565.0,850.0,3.0,0.0,AS_NEW
889000.0,,Maldegem,HOUSE,VILLA,3.0,222.0,False,0.0,,1.0,,,,,4700.0,4.0,,AS_NEW
30000.0,,Verviers,HOUSE,HOUSE,2.0,69.0,False,0.0,,1.0,24.0,1.0,618.0,618.0,703.0,4.0,0.0,TO_BE_DONE_UP
719000.0,,Anderlecht,HOUSE,APARTMENT_BLOCK,10.0,350.0,False,,,,,,,,0.0,2.0,,GOOD
995000.0,,Kraainem,HOUSE,VILLA,4.0,243.0,True,0.0,,1.0,24.0,1.0,500.0,500.0,640.0,4.0,0.0,AS_NEW
175000.0,,ANDERLECHT,APARTMENT,APARTMENT,2.0,65.0,False,0.0,,,,,,,,2.0,0.0,TO_RENOVATE
295000.0,,Uccle,APARTMENT,APARTMENT,2.0,86.0,False,0.0,,1.0,23.0,,,,,3.0,0.0,TO_RENOVATE
308000.0,,Zaventem,APARTMENT,APARTMENT,1.0,76.0,True,0.0,,1.0,5.0,,,,,2.0,0.0,AS_NEW
