Price,Type_of_Sale,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,State_of_the_Building
335000.0,0,Arlon,HOUSE,HOUSE,4.0,170.0,False,0.0,"(None,)",1.0,"(14,)","(None,)","(None,)","(None,)","(859,)","(3,)",0.0,TO_RENOVATE
,0,Melle,APARTMENT_GROUP,APARTMENT_GROUP,,,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,
132000.0,0,ANTWERPEN,APARTMENT,FLAT_STUDIO,0.0,31.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",,GOOD
690000.0,0,BRAINE-LE-CHÂTEAU,HOUSE,HOUSE,5.0,300.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(1540,)","(4,)",1.0,GOOD
75000.0,0,Liège,HOUSE,HOUSE,4.0,,False,0.0,"(None,)",1.0,"(15,)","(None,)","(None,)","(None,)","(80,)","(2,)",,TO_RENOVATE
189000.0,0,"Libin, Ochamps",HOUSE,HOUSE,3.0,102.0,False,0.0,"(None,)",1.0,"(10,)","(1,)","(600,)","(600,)","(708,)","(2,)",0.0,GOOD
450000.0,0,Knokke-Zoute,APARTMENT,APARTMENT,2.0,69.0,False,1.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,TO_BE_DONE_UP
895000.0,0,Boom,APARTMENT,LOFT,4.0,,True,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",0.0,GOOD
195000.0,0,Lokeren,APARTMENT,SERVICE_FLAT,1.0,69.0,False,0.0,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(2,)",1.0,AS_NEW
475000.0,0,Braine-l'Alleud,HOUSE,HOUSE,4.0,156.0,False,0.0,"(None,)",1.0,"(309,)","(1,)","(512,)","(512,)","(512,)","(3,)",0.0,GOOD
310000.0,0,Grimbergen Strombeek-Bever,HOUSE,HOUSE,2.0,105.0,False,,"(None,)",1.0,"(30,)","(1,)","(100,)","(100,)","(196,)","(2,)",0.0,GOOD
1175000.0,0,ANTWERPEN,APARTMENT,LOFT,2.0,193.0,False,,"(None,)",1.0,"(15,)","(None,)","(None,)","(None,)","(None,)","(2,)",,JUST_RENOVATED
510000.0,0,Lievegem,HOUSE,HOUSE,4.0,248.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(800,)","(4,)",,AS_NEW
344990.0,0,Kruisem,APARTMENT,APARTMENT,3.0,120.0,False,,"(None,)",1.0,"(23,)","(1,)","(189,)","(189,)","(None,)","(None,)",,GOOD
299000.0,0,NIEUWERKERKEN,HOUSE,HOUSE,4.0,186.0,True,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(228,)","(2,)",,GOOD
295000.0,0,Habay (Anlier),HOUSE,HOUSE,2.0,129.0,False,,"(None,)",1.0,"(20,)","(None,)","(None,)","(None,)","(347,)","(3,)",,GOOD
665000.0,0,Knokke-Heist,APARTMENT,APARTMENT,2.0,100.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,GOOD
399000.0,0,Brugge,HOUSE,HOUSE,3.0,184.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(117,)","(4,)",,AS_NEW
249000.0,0,Erpe-Mere,HOUSE,HOUSE,4.0,220.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(418,)","(3,)",0.0,TO_RENOVATE
297000.0,0,Leuven,APARTMENT,APARTMENT,1.0,63.0,False,0.0,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(None,)","(None,)",,GOOD
525000.0,0,Sint-Katelijne-Waver,HOUSE,HOUSE,3.0,170.0,False,,"(1,)",1.0,"(None,)","(None,)","(None,)","(None,)","(360,)","(3,)",,GOOD
229000.0,0,GOOIK,HOUSE,HOUSE,1.0,189.0,False,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(240,)","(4,)",,TO_RENOVATE
379000.0,0,Evergem,HOUSE,HOUSE,3.0,122.0,True,,"(None,)",1.0,"(15,)","(1,)","(160,)","(160,)","(239,)","(3,)",0.0,AS_NEW
875000.0,0,Roeselare,HOUSE,HOUSE,4.0,424.0,False,,"(None,)",,"(None,)","(None,)","(None,)","(None,)","(816,)","(4,)",0.0,GOOD
2395000.0,0,Knokke-Heist,HOUSE,HOUSE,5.0,200.0,True,,"(None,)",1.0,"(None,)","(None,)","(None,)","(None,)","(852,)","(4,)",0.0,TO_RENOVATE
540000.0,0,Deinze,HOUSE,VILLA,5.0,327.0,False,,"(None,)",1.0,"(1,)","(1,)","(1,)","(1,)","(1699,)","(4,)",0.0,AS_NEW
